ZipCode,AssessTot,LandUse
10002,3544200,4
10002,3529350,4
10002,3518550,4
10002,3486150,5
10002,3479853,4
10002,3449247,3
10002,3442950,5
10002,3419553,3
10002,3410550,5
10002,3384900,4
10002,3372300,5
10002,3342600,4
10002,3333150,9
10002,3321900,3
10002,3317850,5
10002,3308400,5
10002,3281400,3
10002,3252150,4
10002,3249452,5
10002,3230550,11
10002,3226500,4
10002,3200403,4
10002,3184650,5
10002,3147750,3
10002,3145504,4
10002,3106350,9
10002,3070800,8
10002,3066300,4
10002,3050107,4
10002,3032550,5
10002,3025800,11
10002,3021300,5
10002,2987100,4
10002,2973600,4
10002,2961000,3
10002,2952900,6
10002,2950650,11
10002,2940300,4
10002,2918700,9
10002,2900700,6
10002,2876400,4
10002,2803950,5
10002,2794503,5
10002,2785500,7
10002,2782350,8
10002,2770200,5
10002,2769300,3
10002,2752650,8
10002,2725650,4
10002,2688750,4
10002,2686950,8
10002,2684700,4
10002,2675700,8
10002,2631600,10
10002,2619899,4
10002,2611350,4
10002,2607752,4
10002,2602350,5
10002,2601900,2
10002,2599650,8
10002,2569950,6
10002,2544300,4
10002,2544300,5
10002,2533500,5
10002,2512350,5
10002,2510100,4
10002,2500526,4
10002,2443950,4
10002,2443050,5
10002,2434500,8
10002,2431350,3
10002,2404350,4
10002,2399850,4
10002,2392650,3
10002,2390850,3
10002,2380050,3
10002,2376450,4
10002,2375550,5
10002,2374650,5
10002,2357100,4
10002,2352600,4
10002,2332798,4
10002,2321550,5
10002,2318400,7
10002,2314350,6
10002,2303100,8
10002,2271600,8
10002,2271150,4
10002,2269800,8
10002,2262600,6
10002,2262152,4
10002,2252250,5
10002,2237400,4
10002,2226150,3
10002,2219856,4
10002,2207700,4
10002,2186100,4
10002,2182500,4
10002,2182500,5
10002,2178900,4
10002,2172150,4
10002,2159550,5
10002,2153250,4
10002,2153250,8
10002,2142900,4
10002,2136475,4
10002,2122200,5
10002,2117250,8
10002,2107350,6
10002,2099700,4
10002,2099250,4
10002,2090700,9
10002,2083050,6
10002,2082600,4
10002,2079000,5
10002,2072700,4
10002,2069184,4
10002,2063250,4
10002,2059650,4
10002,2044800,4
10002,2041650,6
10002,2039850,4
10002,2031300,8
10002,2031300,8
10002,2030850,3
10002,2029950,4
10002,2027250,4
10002,2013750,4
10002,2003850,2
10002,1997550,4
10002,1994400,9
10002,1983150,4
10002,1980900,4
10002,1980450,5
10002,1980000,2
10002,1958400,4
10002,1946700,4
10002,1944900,8
10002,1944000,4
10002,1936798,4
10002,1923752,3
10002,1918350,2
10002,1916100,8
10002,1907550,3
10002,1904400,10
10002,1903500,3
10002,1892250,4
10002,1887750,4
10002,1877850,6
10002,1874700,5
10002,1872000,4
10002,1870959,4
10002,1863900,4
10002,1857150,4
10002,1853100,4
10002,1843650,4
10002,1834200,4
10002,1834200,8
10002,1831050,5
10002,1826100,4
10002,1823068,5
10002,1815750,8
10002,1810800,4
10002,1809900,5
10002,1805608,3
10002,1805400,4
10002,1795500,7
10002,1793700,4
10002,1783800,4
10002,1779300,4
10002,1777950,6
10002,1773450,7
10002,1770750,4
10002,1768950,4
10002,1749150,4
10002,1747350,5
10002,1747350,10
10002,1746900,4
10002,1743300,4
10002,1743300,4
10002,1742400,4
10002,1739700,3
10002,1730250,4
10002,1715850,4
10002,1714950,4
10002,1710450,4
10002,1708200,4
10002,1704150,4
10002,1692450,6
10002,1686150,4
10002,1685700,4
10002,1685250,4
10002,1684800,5
10002,1679850,4
10002,1676700,4
10002,1674900,5
10002,1672650,4
10002,1665450,4
10002,1656000,4
10002,1652850,4
10002,1649250,4
10002,1648350,5
10002,1646100,8
10002,1641600,9
10002,1641150,8
10002,1640700,8
10002,1638000,4
10002,1631250,5
10002,1627158,4
10002,1626300,4
